index,gender,car,reality,child_num,income_total,income_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
82,M,N,N,2,135000.0,Working,House / apartment,-9007,-2107,1,0,0,Managers,4.0,-16.0
83,F,Y,Y,0,144000.0,Commercial associate,House / apartment,-12116,-2714,1,1,0,Drivers,2.0,-25.0
84,F,N,N,0,202500.0,Commercial associate,House / apartment,-17807,-3041,0,0,0,Accountants,2.0,-20.0
85,F,N,Y,0,94500.0,Pensioner,House / apartment,-21868,365243,0,0,0,,2.0,-4.0
86,F,Y,Y,0,72000.0,Working,With parents,-12138,-200,0,0,0,Cooking staff,2.0,-24.0
87,M,Y,Y,0,222750.0,Working,House / apartment,-16944,-1324,0,0,0,Drivers,2.0,-24.0
88,F,N,Y,1,112500.0,Working,House / apartment,-13541,-3427,0,0,0,Core staff,3.0,-11.0
89,F,N,Y,0,112500.0,Pensioner,House / apartment,-19474,365243,0,1,0,,2.0,-26.0
90,F,Y,Y,0,135000.0,Working,House / apartment,-15468,-4834,0,0,1,,2.0,-49.0
91,M,N,Y,0,112500.0,Commercial associate,House / apartment,-21601,-808,1,0,1,Managers,2.0,-9.0
92,F,N,Y,1,90000.0,Working,House / apartment,-11574,-3608,0,1,0,High skill tech staff,3.0,-20.0
93,M,Y,N,1,157500.0,Commercial associate,House / apartment,-11726,-3594,0,0,0,,3.0,-56.0
94,F,Y,Y,0,180000.0,Working,House / apartment,-12104,-854,1,1,0,Medicine staff,2.0,-25.0
95,M,Y,N,0,202500.0,Working,House / apartment,-15228,-4452,0,0,0,,2.0,-25.0
96,F,Y,Y,0,360000.0,Working,House / apartment,-11452,-2012,0,0,0,,2.0,-18.0
97,F,N,Y,0,126000.0,Working,House / apartment,-10075,-460,0,1,1,Core staff,2.0,-32.0
98,F,Y,Y,0,90000.0,Pensioner,House / apartment,-23118,365243,0,1,0,,2.0,-4.0
99,M,N,Y,0,315000.0,Working,House / apartment,-19686,-1131,0,0,0,Laborers,2.0,-35.0
100,F,N,N,1,180000.0,Working,With parents,-9911,-2665,0,0,0,,3.0,-13.0
101,F,N,Y,0,135000.0,Pensioner,House / apartment,-21790,365243,0,0,0,,1.0,-53.0
102,M,Y,N,0,247500.0,State servant,With parents,-12118,-2313,1,1,1,Core staff,2.0,-16.0
103,F,N,Y,0,112500.0,Working,Rented apartment,-16022,-9052,0,0,0,Sales staff,2.0,-51.0
104,F,N,N,1,135000.0,Commercial associate,With parents,-13689,-1172,0,0,0,Sales staff,3.0,-46.0
105,F,N,Y,0,180000.0,Pensioner,House / apartment,-23431,365243,0,0,0,,1.0,-6.0
106,M,N,N,1,202500.0,Working,House / apartment,-14829,-685,0,1,0,Laborers,3.0,-48.0
107,F,N,N,0,135000.0,Commercial associate,Municipal apartment,-17991,-5607,0,0,0,Sales staff,2.0,-31.0
108,F,N,Y,0,189000.0,Working,House / apartment,-15787,-2188,1,0,0,Accountants,2.0,-59.0
109,M,Y,Y,0,540000.0,Commercial associate,House / apartment,-15238,-2410,0,1,0,,1.0,-13.0
110,M,N,Y,1,135000.0,Working,House / apartment,-18719,-1473,1,1,0,Laborers,3.0,-32.0
111,M,Y,Y,0,81000.0,Pensioner,House / apartment,-22952,365243,0,1,0,,2.0,-18.0
112,M,N,Y,0,135000.0,Pensioner,House / apartment,-21720,365243,0,1,0,,2.0,-3.0
113,M,Y,N,0,225000.0,Commercial associate,House / apartment,-14346,-302,0,0,0,,2.0,-22.0
114,F,N,Y,0,180000.0,Pensioner,House / apartment,-23594,365243,0,0,0,,1.0,-8.0
115,F,N,N,1,225000.0,Working,House / apartment,-11100,-3118,0,0,0,Accountants,3.0,-31.0
116,M,Y,Y,1,247500.0,Working,House / apartment,-9425,-232,0,0,0,Sales staff,3.0,-3.0
117,M,N,Y,0,225000.0,Commercial associate,House / apartment,-11808,-3533,0,0,0,,2.0,-14.0
118,F,N,Y,0,135000.0,Pensioner,House / apartment,-22788,365243,0,0,0,,1.0,-39.0
119,F,N,Y,0,900000.0,Working,House / apartment,-18634,-1169,0,1,0,,2.0,0.0
120,M,N,N,0,225000.0,Commercial associate,House / apartment,-9448,-1022,0,0,0,Drivers,1.0,-26.0
121,M,Y,Y,1,810000.0,Commercial associate,House / apartment,-18365,-4456,1,1,1,,3.0,-22.0
122,M,N,Y,0,495000.0,Commercial associate,House / apartment,-16741,-658,0,0,0,Managers,2.0,-29.0
123,M,Y,Y,0,76500.0,Working,House / apartment,-15259,-3503,0,0,0,Drivers,2.0,-6.0
124,F,N,Y,1,112500.0,Working,House / apartment,-13656,-2207,0,1,0,Sales staff,3.0,-13.0
125,F,N,N,0,31500.0,Pensioner,House / apartment,-20836,365243,0,0,0,,2.0,-12.0
126,M,N,Y,0,270000.0,Commercial associate,House / apartment,-14638,-5891,0,0,0,Laborers,1.0,-27.0
127,F,N,N,0,270000.0,Working,House / apartment,-8784,-278,1,0,1,Medicine staff,2.0,-33.0
128,F,Y,Y,3,405000.0,Working,House / apartment,-13886,-4003,0,0,0,Accountants,5.0,-22.0
129,F,N,Y,0,157500.0,Pensioner,House / apartment,-19844,365243,0,0,0,,1.0,-55.0
130,F,N,Y,0,135000.0,Pensioner,House / apartment,-23939,365243,0,1,0,,1.0,-3.0
131,F,N,Y,0,67500.0,Pensioner,Municipal apartment,-23694,365243,0,0,1,,1.0,-37.0
132,M,Y,Y,0,180000.0,Pensioner,House / apartment,-23289,365243,0,1,0,,2.0,-41.0
133,F,Y,N,0,225000.0,Working,House / apartment,-12522,-613,1,0,0,Laborers,1.0,-21.0
134,F,N,Y,0,112500.0,Pensioner,House / apartment,-23671,365243,0,1,0,,2.0,-42.0
135,M,N,N,0,126000.0,Working,House / apartment,-21388,-1830,0,0,0,Security staff,2.0,-11.0
136,F,N,N,0,216000.0,Pensioner,House / apartment,-22867,365243,0,0,0,,2.0,-29.0
137,M,N,N,0,126000.0,Working,House / apartment,-21388,-1830,0,0,0,Security staff,2.0,-33.0
138,F,Y,N,0,337500.0,Commercial associate,House / apartment,-12826,-5099,1,1,0,,2.0,-17.0
139,M,Y,Y,0,135000.0,Working,House / apartment,-9955,-2036,0,0,0,,2.0,-8.0
140,F,N,Y,0,112500.0,Pensioner,House / apartment,-23504,365243,0,0,0,,2.0,-40.0
141,F,N,N,0,135000.0,Commercial associate,House / apartment,-16989,-3444,0,0,0,,2.0,-9.0
142,M,Y,Y,0,270000.0,Working,House / apartment,-16872,-769,1,1,1,Accountants,2.0,-5.0
143,F,Y,Y,0,225000.0,Working,House / apartment,-18868,-11954,0,1,0,Managers,2.0,-49.0
144,F,Y,N,0,405000.0,Working,House / apartment,-12906,-4602,1,1,0,Drivers,2.0,-6.0
145,M,Y,N,0,135000.0,Pensioner,House / apartment,-14400,365243,0,1,0,,2.0,-13.0
146,F,N,Y,0,144000.0,Working,House / apartment,-13190,-4943,0,0,0,,1.0,-6.0
147,F,Y,Y,0,270000.0,Pensioner,House / apartment,-24194,365243,0,0,0,,2.0,-4.0
148,F,N,Y,1,175500.0,Working,House / apartment,-16704,-132,1,0,0,Cleaning staff,3.0,-39.0
149,M,Y,N,1,180000.0,Pensioner,House / apartment,-15510,365243,0,0,0,,3.0,-60.0
150,F,N,Y,1,135000.0,Commercial associate,Municipal apartment,-17121,-9751,0,0,0,Core staff,2.0,-13.0
151,M,N,N,0,270000.0,Commercial associate,House / apartment,-16842,-9389,0,0,0,Laborers,2.0,-57.0
152,F,Y,Y,0,135000.0,Pensioner,House / apartment,-20152,365243,0,1,0,,2.0,-24.0
153,M,Y,Y,0,315000.0,Commercial associate,Rented apartment,-16990,-2026,0,0,0,Drivers,2.0,-51.0
154,F,N,Y,2,157500.0,Working,House / apartment,-14326,-555,0,0,0,Core staff,3.0,-3.0
155,M,Y,Y,0,99000.0,Working,House / apartment,-20659,-313,1,1,1,Laborers,1.0,-32.0
156,M,Y,N,2,171000.0,Working,With parents,-11301,-2250,1,0,0,Laborers,4.0,-21.0
157,M,Y,N,0,180000.0,Working,House / apartment,-10376,-126,0,1,0,Drivers,2.0,-40.0
158,M,Y,N,0,67500.0,Commercial associate,Municipal apartment,-9047,-716,0,0,0,Security staff,1.0,-32.0
159,F,N,N,0,112500.0,Pensioner,House / apartment,-21135,365243,0,0,0,,1.0,-52.0
160,F,N,Y,0,225000.0,Commercial associate,House / apartment,-13046,-671,0,0,0,,2.0,-50.0
161,F,N,N,0,67500.0,Working,With parents,-16182,-2827,1,1,0,Cooking staff,2.0,-31.0
162,F,N,Y,2,189000.0,Working,House / apartment,-13788,-351,0,1,0,,4.0,-19.0
163,F,N,N,1,202500.0,Working,House / apartment,-16391,-2014,1,0,0,,3.0,-21.0
164,F,N,Y,1,135000.0,Commercial associate,House / apartment,-9734,-2049,1,1,1,Core staff,3.0,-35.0
165,F,N,N,0,67500.0,State servant,Municipal apartment,-17104,-3024,1,0,0,Core staff,2.0,-24.0
166,F,N,N,0,135000.0,Working,House / apartment,-15459,-642,0,0,0,Sales staff,2.0,-6.0
167,F,N,Y,0,292500.0,Working,House / apartment,-13434,-3515,0,0,1,,1.0,-56.0
168,M,Y,Y,0,202500.0,Commercial associate,House / apartment,-14893,-2604,0,0,0,Laborers,2.0,-15.0
169,M,Y,N,1,202500.0,Working,With parents,-11942,-3638,0,1,0,Sales staff,3.0,-5.0
170,M,N,Y,0,112500.0,Pensioner,House / apartment,-22131,365243,0,0,0,,2.0,-39.0
171,F,N,Y,0,90000.0,Working,House / apartment,-13417,-353,1,1,0,Accountants,2.0,-6.0
172,F,N,N,1,157500.0,Working,House / apartment,-13549,-2877,0,1,0,Accountants,3.0,-39.0
173,F,N,Y,1,157500.0,Working,House / apartment,-18150,-1812,0,0,0,Drivers,3.0,-14.0
174,F,N,Y,0,387000.0,Commercial associate,House / apartment,-20082,-4979,0,0,0,Sales staff,2.0,-54.0
175,F,N,N,0,81000.0,Working,House / apartment,-17876,-377,1,1,0,Private service staff,1.0,-33.0
176,F,N,N,0,270000.0,Pensioner,House / apartment,-21861,365243,0,0,0,,1.0,-18.0
177,F,N,Y,0,99000.0,Working,House / apartment,-14553,-886,0,0,0,,2.0,-4.0
178,M,Y,N,3,225000.0,Commercial associate,Municipal apartment,-13683,-7094,0,0,0,Laborers,5.0,-30.0
179,M,Y,Y,1,157500.0,Working,House / apartment,-13867,-3095,0,0,0,Laborers,3.0,-26.0
180,F,N,N,1,157500.0,Commercial associate,With parents,-11941,-2760,0,0,0,,3.0,-45.0
181,F,Y,Y,0,112500.0,Pensioner,House / apartment,-21797,365243,0,0,0,,2.0,-48.0
182,F,Y,Y,1,135000.0,Working,House / apartment,-12071,-721,0,0,0,,3.0,-14.0
183,M,N,Y,0,445500.0,Commercial associate,House / apartment,-19298,-2469,0,0,0,,1.0,-22.0
184,F,N,Y,1,112500.0,Working,House / apartment,-17992,-9419,0,1,0,Laborers,2.0,-27.0
185,M,Y,Y,0,202500.0,Pensioner,House / apartment,-23022,365243,0,0,0,,1.0,-6.0
186,F,N,Y,0,112500.0,Working,House / apartment,-11432,-820,1,0,0,Core staff,2.0,-23.0
187,M,Y,N,0,112500.0,Working,House / apartment,-10004,-1962,0,1,0,,2.0,-3.0
188,F,N,N,0,202500.0,Working,House / apartment,-11991,-706,0,0,1,Laborers,1.0,-52.0
189,M,Y,Y,0,83250.0,Working,House / apartment,-18700,-7536,0,0,0,,2.0,-47.0
190,F,Y,Y,1,270000.0,Commercial associate,House / apartment,-13865,-1682,0,1,0,Sales staff,3.0,0.0
191,F,Y,Y,0,315000.0,Commercial associate,House / apartment,-18184,-3021,0,1,1,Laborers,1.0,-39.0
192,F,Y,Y,0,67500.0,Pensioner,House / apartment,-21350,365243,0,1,0,,2.0,-17.0
193,M,Y,Y,0,450000.0,Working,House / apartment,-19087,-4434,0,1,0,Managers,2.0,-29.0
194,F,Y,Y,0,157500.0,Commercial associate,House / apartment,-17052,-3055,0,0,0,Sales staff,2.0,-21.0
195,F,N,Y,0,135000.0,State servant,House / apartment,-20542,-9422,0,1,0,Core staff,2.0,-10.0
196,F,N,Y,0,90000.0,Commercial associate,House / apartment,-18386,-8808,0,0,0,Core staff,1.0,-59.0
197,M,Y,N,0,180000.0,Working,House / apartment,-9586,-1070,0,0,0,Laborers,2.0,-16.0
198,F,Y,Y,0,153000.0,Working,House / apartment,-14966,-170,0,0,0,,2.0,-41.0
199,F,N,Y,0,202500.0,Pensioner,House / apartment,-22960,365243,0,0,0,,2.0,-6.0
200,F,Y,Y,0,225000.0,Working,House / apartment,-12322,-3717,0,0,0,Core staff,2.0,-32.0
201,M,Y,Y,2,225000.0,Working,House / apartment,-10380,-3396,0,0,0,Laborers,4.0,-11.0
202,F,Y,Y,2,112500.0,Working,House / apartment,-13405,-3252,0,1,0,Accountants,4.0,-47.0
203,M,N,Y,0,180000.0,Working,House / apartment,-17146,-5680,0,1,0,Laborers,2.0,-37.0
204,M,Y,Y,1,157500.0,State servant,House / apartment,-11609,-2495,0,0,0,,3.0,-38.0
205,M,Y,Y,0,225000.0,Working,House / apartment,-12311,-2461,1,1,0,Laborers,2.0,-11.0
206,M,N,Y,1,126000.0,Commercial associate,House / apartment,-12755,-2105,0,0,0,,3.0,-44.0
207,F,N,Y,0,202500.0,Working,House / apartment,-19317,-6590,1,1,1,Laborers,2.0,-47.0
208,F,Y,N,0,112500.0,Working,House / apartment,-15537,-5787,0,0,0,Medicine staff,2.0,-7.0
209,M,Y,Y,0,180000.0,Commercial associate,With parents,-9859,-773,0,0,0,Sales staff,2.0,-3.0
210,F,N,Y,0,90000.0,Commercial associate,House / apartment,-19482,-2878,0,0,0,Laborers,2.0,-33.0
211,M,N,Y,0,225000.0,Commercial associate,House / apartment,-9149,-1217,0,0,1,Laborers,1.0,-20.0
212,F,N,Y,0,180000.0,Working,House / apartment,-19187,-1218,1,1,0,Cooking staff,2.0,-58.0
213,M,Y,N,0,292500.0,Working,House / apartment,-13999,-1526,0,1,0,Drivers,1.0,-18.0
214,F,N,Y,0,135000.0,Pensioner,House / apartment,-23183,365243,0,1,0,,1.0,-50.0
215,F,Y,Y,1,360000.0,Working,House / apartment,-12367,-928,1,0,0,Core staff,3.0,-16.0
216,M,Y,Y,0,202500.0,Commercial associate,House / apartment,-17850,-2014,0,1,0,Cooking staff,2.0,-42.0
217,F,N,Y,2,292500.0,Working,House / apartment,-12708,-4508,0,1,1,Core staff,4.0,-5.0
218,F,N,Y,0,288000.0,Commercial associate,House / apartment,-16181,-117,0,1,1,Private service staff,1.0,-7.0
219,F,Y,Y,0,175500.0,Working,House / apartment,-18053,-3141,0,0,0,Sales staff,2.0,-52.0
220,F,N,Y,2,225000.0,Working,Co-op apartment,-15377,-341,0,0,0,Laborers,4.0,-18.0
221,F,Y,N,0,157500.0,State servant,House / apartment,-17081,-2927,0,1,0,,2.0,-7.0
222,M,Y,Y,0,180000.0,Working,House / apartment,-11988,-2495,0,0,0,Laborers,1.0,-34.0
223,F,N,N,0,94500.0,Working,Rented apartment,-17836,-2561,0,0,0,Security staff,1.0,-43.0
224,M,Y,N,0,157500.0,State servant,House / apartment,-19050,-460,1,0,0,Laborers,1.0,-41.0
225,F,Y,N,0,360000.0,Pensioner,House / apartment,-20782,365243,0,1,0,,2.0,-17.0
226,M,Y,Y,2,315000.0,Working,House / apartment,-12434,-1463,0,1,0,,4.0,-54.0
227,F,N,Y,0,135000.0,Working,House / apartment,-18199,-5190,0,0,0,Cleaning staff,2.0,-9.0
228,F,N,N,1,90000.0,Working,Rented apartment,-14210,-344,0,0,1,Sales staff,2.0,-12.0
229,F,N,N,0,135000.0,State servant,House / apartment,-20875,-3785,0,0,0,High skill tech staff,2.0,-12.0
230,F,N,Y,1,202500.0,Commercial associate,House / apartment,-14069,-3093,0,0,1,Accountants,3.0,-47.0
231,F,N,Y,0,297000.0,Commercial associate,Rented apartment,-15519,-3234,0,0,0,Laborers,1.0,-34.0
232,F,N,N,1,211500.0,Working,House / apartment,-17519,-1132,0,0,0,Core staff,3.0,-50.0
233,F,N,Y,0,112500.0,Pensioner,House / apartment,-23579,365243,0,0,0,,2.0,-45.0
234,F,N,Y,0,202500.0,Working,House / apartment,-21664,-7077,0,1,0,Core staff,2.0,-16.0
235,F,N,Y,0,157500.0,Pensioner,House / apartment,-23596,365243,0,0,0,,1.0,-8.0
236,F,N,Y,1,157500.0,Working,House / apartment,-17262,-1107,1,1,0,Sales staff,3.0,-38.0
237,M,Y,Y,1,180000.0,Commercial associate,House / apartment,-15131,-1466,0,0,1,,3.0,-34.0
238,M,Y,Y,1,135000.0,Working,House / apartment,-15013,-3846,0,0,0,Laborers,3.0,-33.0
239,F,N,Y,0,171000.0,Working,House / apartment,-10224,-2073,0,0,0,Laborers,1.0,-32.0
240,F,N,Y,0,157500.0,Commercial associate,House / apartment,-12009,-1912,0,1,0,Sales staff,1.0,-4.0
241,F,N,Y,0,270000.0,Pensioner,House / apartment,-21299,365243,0,1,0,,1.0,-45.0
242,F,Y,Y,1,135000.0,Commercial associate,House / apartment,-15481,-2874,0,0,0,Private service staff,3.0,-2.0
243,M,N,N,0,157500.0,Working,House / apartment,-13739,-2896,0,0,0,Security staff,2.0,-16.0
244,F,Y,Y,0,157500.0,Working,House / apartment,-9389,-1632,1,1,0,,2.0,-4.0
245,M,N,Y,0,135000.0,Working,House / apartment,-13826,-7128,0,0,0,Laborers,2.0,-12.0
246,F,N,N,0,364500.0,Working,House / apartment,-17204,-1028,0,0,0,Sales staff,2.0,-41.0
247,M,N,Y,0,114750.0,Pensioner,House / apartment,-21268,365243,0,0,0,,1.0,-13.0
248,F,N,Y,0,153000.0,Pensioner,House / apartment,-21778,365243,0,1,0,,1.0,-38.0
249,F,N,Y,0,135000.0,Commercial associate,House / apartment,-17207,-2796,0,0,0,Sales staff,1.0,-57.0
250,F,N,Y,0,157500.0,Working,House / apartment,-17343,-938,0,0,0,Sales staff,2.0,-8.0
251,M,N,N,0,157500.0,Commercial associate,House / apartment,-11888,-295,0,0,0,Security staff,2.0,-34.0
252,F,N,N,1,135000.0,Working,House / apartment,-11524,-1892,1,1,0,Sales staff,3.0,-24.0
253,F,N,Y,0,135000.0,Commercial associate,House / apartment,-19764,-6944,0,0,0,Medicine staff,2.0,-32.0
254,M,Y,N,3,180000.0,Commercial associate,House / apartment,-15752,-878,0,1,0,Drivers,5.0,-11.0
255,F,Y,Y,0,540000.0,Working,House / apartment,-13151,-3725,0,0,0,Accountants,1.0,-6.0
256,F,Y,N,0,157500.0,Working,House / apartment,-14420,-2593,0,0,0,Private service staff,2.0,-26.0
257,M,Y,Y,1,225000.0,State servant,House / apartment,-11429,-3165,1,0,0,,3.0,-6.0
258,F,N,Y,0,90000.0,Commercial associate,House / apartment,-9036,-1191,1,0,0,Laborers,2.0,-14.0
259,F,N,Y,1,135000.0,Commercial associate,House / apartment,-14578,-7346,0,0,0,Laborers,2.0,-42.0
